Lucky Firecracker
2021-12-03 00:00:00-2021-12-03 23:59:59
20~40,5,322200,0.022709850517439633,0,
40~60,0,0,0,0,
60~100,0,0,0,0,
100~200,0,0,0,0,
200~400,0,0,0,0,
400+,0,0,0,0,
合计开奖,9104,17838140,
红利次数/奖项,3030,9693360,
红利赢场次,1268,



Wild Orient
2021-12-15 18:00:00-2021-12-16 08:59:59
游戏场次,总底注量,总获取奖项数额,总输赢金币,输赢投注比,

Bikini Party
2021-12-15 18:00:00-2021-12-16 08:59:59
游戏场次,总底注量,总获取奖项数额,总输赢金币,输赢投注比,

Wild Orient
2021-12-15 18:00:00-2021-12-16 08:59:59
游戏场次,总底注量,总获取奖项数额,总输赢金币,输赢投注比,

Wild Orient
2021-12-15 18:00:00-2021-12-16 08:59:59
游戏场次,总底注量,总获取奖项数额,总输赢金币,输赢投注比,

Wild Orient
2021-12-15 18:00:00-2021-12-16 08:59:59
游戏场次,总底注量,总获取奖项数额,总输赢金币,输赢投注比,

Wild Orient
2021-12-15 18:00:00-2021-12-16 08:59:59
游戏场次,总底注量,总获取奖项数额,总输赢金币,输赢投注比,
